"GEOID","race","agecat","sex","acs.pop"
"25017339802","total","Age45-54","Female",1769
"25017339802","total","Age45-54","Male",1101
"25017339802","total","Age5-9","Female",386
"25017339802","total","Age5-9","Male",462
"25017339802","total","Age55-64","Female",1236
"25017339802","total","Age55-64","Male",1332
"25017339802","total","Age65-74","Female",821
"25017339802","total","Age65-74","Male",546
"25017339802","total","Age75-84","Female",707
"25017339802","total","Age75-84","Male",381
"25017339802","total","Age85+","Female",305
"25017339802","total","Age85+","Male",432
"25017339900","total","Age0-4","Female",1005
"25017339900","total","Age0-4","Male",861
"25017339900","total","Age10-14","Female",361
"25017339900","total","Age10-14","Male",560
"25017339900","total","Age15-19","Female",333
"25017339900","total","Age15-19","Male",750
"25017339900","total","Age20-24","Female",645
"25017339900","total","Age20-24","Male",804
"25017339900","total","Age25-29","Female",1543
"25017339900","total","Age25-29","Male",1358
"25017339900","total","Age30-34","Female",1484
"25017339900","total","Age30-34","Male",1360
"25017339900","total","Age35-44","Female",1427
"25017339900","total","Age35-44","Male",1848
"25017339900","total","Age45-54","Female",1958
"25017339900","total","Age45-54","Male",1418
"25017339900","total","Age5-9","Female",548
"25017339900","total","Age5-9","Male",635
"25017339900","total","Age55-64","Female",1755
"25017339900","total","Age55-64","Male",1565
"25017339900","total","Age65-74","Female",719
"25017339900","total","Age65-74","Male",862
"25017339900","total","Age75-84","Female",584
"25017339900","total","Age75-84","Male",383
"25017339900","total","Age85+","Female",298
"25017339900","total","Age85+","Male",236
"25017340000","total","Age0-4","Female",574
"25017340000","total","Age0-4","Male",570
"25017340000","total","Age10-14","Female",234
"25017340000","total","Age10-14","Male",360
"25017340000","total","Age15-19","Female",374
"25017340000","total","Age15-19","Male",54
"25017340000","total","Age20-24","Female",244
"25017340000","total","Age20-24","Male",287
"25017340000","total","Age25-29","Female",622
"25017340000","total","Age25-29","Male",797
"25017340000","total","Age30-34","Female",872
"25017340000","total","Age30-34","Male",666
"25017340000","total","Age35-44","Female",1077
"25017340000","total","Age35-44","Male",934
"25017340000","total","Age45-54","Female",674
"25017340000","total","Age45-54","Male",967
"25017340000","total","Age5-9","Female",506
"25017340000","total","Age5-9","Male",163
"25017340000","total","Age55-64","Female",774
"25017340000","total","Age55-64","Male",488
"25017340000","total","Age65-74","Female",418
"25017340000","total","Age65-74","Male",354
"25017340000","total","Age75-84","Female",314
"25017340000","total","Age75-84","Male",109
"25017340000","total","Age85+","Female",112
"25017340000","total","Age85+","Male",98
"25017340100","total","Age0-4","Female",948
"25017340100","total","Age0-4","Male",1065
"25017340100","total","Age10-14","Female",295
"25017340100","total","Age10-14","Male",839
"25017340100","total","Age15-19","Female",462
"25017340100","total","Age15-19","Male",492
"25017340100","total","Age20-24","Female",1089
"25017340100","total","Age20-24","Male",615
"25017340100","total","Age25-29","Female",892
"25017340100","total","Age25-29","Male",1572
"25017340100","total","Age30-34","Female",948
"25017340100","total","Age30-34","Male",1397
"25017340100","total","Age35-44","Female",2322
"25017340100","total","Age35-44","Male",2029
"25017340100","total","Age45-54","Female",2755
"25017340100","total","Age45-54","Male",1928
"25017340100","total","Age5-9","Female",633
"25017340100","total","Age5-9","Male",900
"25017340100","total","Age55-64","Female",3178
"25017340100","total","Age55-64","Male",2622
"25017340100","total","Age65-74","Female",1717
"25017340100","total","Age65-74","Male",1495
"25017340100","total","Age75-84","Female",1006
"25017340100","total","Age75-84","Male",599
"25017340100","total","Age85+","Female",594
"25017340100","total","Age85+","Male",467
"25017341101","total","Age0-4","Female",386
"25017341101","total","Age0-4","Male",414
"25017341101","total","Age10-14","Female",214
"25017341101","total","Age10-14","Male",323
"25017341101","total","Age15-19","Female",416
"25017341101","total","Age15-19","Male",317
"25017341101","total","Age20-24","Female",964
"25017341101","total","Age20-24","Male",989
"25017341101","total","Age25-29","Female",910
"25017341101","total","Age25-29","Male",1568
"25017341101","total","Age30-34","Female",706
"25017341101","total","Age30-34","Male",849
"25017341101","total","Age35-44","Female",1198
"25017341101","total","Age35-44","Male",1427
"25017341101","total","Age45-54","Female",1411
"25017341101","total","Age45-54","Male",1114
"25017341101","total","Age5-9","Female",438
"25017341101","total","Age5-9","Male",299
"25017341101","total","Age55-64","Female",1580
"25017341101","total","Age55-64","Male",1540
"25017341101","total","Age65-74","Female",784
"25017341101","total","Age65-74","Male",589
"25017341101","total","Age75-84","Female",386
"25017341101","total","Age75-84","Male",363
"25017341101","total","Age85+","Female",151
"25017341101","total","Age85+","Male",66
"25017341102","total","Age0-4","Female",273
"25017341102","total","Age0-4","Male",283
"25017341102","total","Age10-14","Female",472
"25017341102","total","Age10-14","Male",116
"25017341102","total","Age15-19","Female",509
"25017341102","total","Age15-19","Male",383
"25017341102","total","Age20-24","Female",864
"25017341102","total","Age20-24","Male",1147
"25017341102","total","Age25-29","Female",1357
"25017341102","total","Age25-29","Male",1554
"25017341102","total","Age30-34","Female",1073
"25017341102","total","Age30-34","Male",1665
"25017341102","total","Age35-44","Female",822
"25017341102","total","Age35-44","Male",1175
"25017341102","total","Age45-54","Female",1761
"25017341102","total","Age45-54","Male",983
"25017341102","total","Age5-9","Female",358
"25017341102","total","Age5-9","Male",115
"25017341102","total","Age55-64","Female",1403
"25017341102","total","Age55-64","Male",1675
"25017341102","total","Age65-74","Female",895
"25017341102","total","Age65-74","Male",1118
"25017341102","total","Age75-84","Female",745
"25017341102","total","Age75-84","Male",259
"25017341102","total","Age85+","Female",51
"25017341102","total","Age85+","Male",40
"25017341200","total","Age0-4","Female",1067
"25017341200","total","Age0-4","Male",789
"25017341200","total","Age10-14","Female",1108
"25017341200","total","Age10-14","Male",1032
