"GEOID","agecat","sex","deaths","expected"
"25017339900","Age30-34","Male",3,1.6299989124219
"25017339900","Age35-44","Female",0,2.19208600150252
"25017339900","Age35-44","Male",9,2.83880513719458
"25017339900","Age45-54","Female",1,6.17670964983862
"25017339900","Age45-54","Male",6,4.473224863877
"25017339900","Age5-9","Female",0,0.0465778081898488
"25017339900","Age5-9","Male",0,0.053972460219989
"25017339900","Age55-64","Female",5,11.6068321125165
"25017339900","Age55-64","Male",14,10.3502519977711
"25017339900","Age65-74","Female",11,10.7404250166289
"25017339900","Age65-74","Male",12,12.8765596165982
"25017339900","Age75-84","Female",28,24.3906071019473
"25017339900","Age75-84","Male",32,15.9958947261059
"25017339900","Age85+","Female",32,41.3916303164243
"25017339900","Age85+","Male",29,32.7799488411951
"25017340000","Age0-4","Female",0,0.513311927348138
"25017340000","Age0-4","Male",0,0.509734840746409
"25017340000","Age10-14","Female",0,0.0225321371828409
"25017340000","Age10-14","Male",0,0.0346648264351399
"25017340000","Age15-19","Female",0,0.102128962208649
"25017340000","Age15-19","Male",0,0.0147458929392167
"25017340000","Age20-24","Female",1,0.156353603779988
"25017340000","Age20-24","Male",1,0.18390772247892
"25017340000","Age25-29","Female",0,0.621555303810927
"25017340000","Age25-29","Male",0,0.796430188323647
"25017340000","Age30-34","Female",1,1.04511694972933
"25017340000","Age30-34","Male",0,0.798220055641899
"25017340000","Age35-44","Female",0,1.65443351339749
"25017340000","Age35-44","Male",1,1.43476406825743
"25017340000","Age45-54","Female",1,2.12620138099654
"25017340000","Age45-54","Male",5,3.0504996074535
"25017340000","Age5-9","Female",1,0.0430079761752983
"25017340000","Age5-9","Male",0,0.0138543480564696
"25017340000","Age55-64","Female",3,5.11891057269957
"25017340000","Age55-64","Male",8,3.22742682103022
"25017340000","Age65-74","Female",5,6.24408575375642
"25017340000","Age65-74","Male",8,5.28805348523869
"25017340000","Age75-84","Female",8,13.1141277911155
"25017340000","Age75-84","Male",7,4.55235646252099
"25017340000","Age85+","Female",25,15.5565858907366
"25017340000","Age85+","Male",12,13.6120126543946
"25017340100","Age0-4","Female",1,0.847769524609816
"25017340100","Age0-4","Male",2,0.952399307710395
"25017340100","Age10-14","Female",0,0.0284058994399063
"25017340100","Age10-14","Male",0,0.0807883038307843
"25017340100","Age15-19","Female",0,0.126159306257743
"25017340100","Age15-19","Male",0,0.134351469001752
